claim_number,prediction_prob,subrogation
6445439,0.11155172,0
4858502,0.54877883,1
1030165,0.47023454,1
4362645,0.21308665,0
1152812,0.743376,1
9802185,0.052447148,0
1603217,0.39757872,1
5163486,0.011007885,0
1830291,0.2438022,0
6611184,0.5985976,1
3925328,0.05397992,0
2583080,0.077199474,0
9318706,0.026096322,0
4683278,0.4658822,1
2518131,0.6593535,1
4081439,0.40604362,1
9400054,0.58905244,1
5603736,0.09662006,0
3416849,0.06914871,0
7292698,0.12600887,0
6528757,0.018057562,0
9979253,0.74894917,1
4270975,0.020076305,0
4985621,0.009816847,0
2900826,0.046024743,0
3217782,0.44872218,1
4348242,0.07242593,0
4508921,0.08684586,0
6286242,0.34845406,1
2970769,0.13062616,0
8992400,0.34913647,1
8436962,0.025232818,0
5307559,0.01726599,0
7665557,0.06595727,0
9266581,0.3543946,1
8129878,0.15241899,0
8333274,0.47499117,1
8950870,0.039321035,0
5234523,0.049129028,0
2164844,0.014812953,0
7134562,0.66226304,1
8036909,0.010250479,0
9004378,0.1369106,0
9349675,0.19020101,0
9294625,0.009034732,0
3011369,0.341044,1
8225931,0.5341724,1
8064084,0.006144862,0
1419702,0.19388673,0
8885134,0.2612866,0
6309957,0.22274001,0
1259849,0.1729712,0
6016816,0.03495962,0
5759558,0.008437617,0
6708029,0.49351987,1
4487977,0.16914296,0
4100047,0.010294129,0
3917824,0.33338085,1
4797847,0.19613685,0
6276989,0.02966347,0
8572152,0.03872264,0
3384638,0.57278496,1
6711996,0.37616882,1
9503625,0.07707251,0
5580923,0.22781672,0
9406725,0.00834876,0
5605369,0.013055163,0
1919757,0.28537738,1
2451129,0.1779168,0
9176135,0.015245443,0
4397647,0.5210875,1
9667805,0.08894666,0
6553521,0.20128475,0
6728409,0.12843275,0
8424664,0.25297102,0
8205055,0.13118616,0
4835619,0.051672343,0
5423529,0.08270474,0
6246003,0.45549563,1
2284385,0.15690605,0
5760509,0.046756573,0
8964819,0.5569709,1
2761839,0.43216956,1
5513052,0.097052544,0
2856938,0.036415983,0
4275451,0.2482757,0
2636707,0.66482705,1
6975775,0.02032413,0
3166836,0.1623278,0
8913751,0.019286621,0
3995201,0.24919029,0
2732628,0.3194445,1
1341447,0.26495376,0
7903433,0.038236275,0
2024462,0.42043102,1
5400266,0.307388,1
1750991,0.070007086,0
5303555,0.20245977,0
7456315,0.063244775,0
8031919,0.4703845,1
8577193,0.33429182,1
9340288,0.20865494,0
2406620,0.022941718,0
4533082,0.40658507,1
1878635,0.113321014,0
5961773,0.011445105,0
7133106,0.081703246,0
1078002,0.023155311,0
5617189,0.242311,0
5475600,0.05476251,0
4324518,0.13096015,0
4576050,0.05736804,0
3409285,0.4199847,1
3415360,0.19704539,0
6004744,0.01383584,0
7529232,0.23275347,0
8127668,0.0070602773,0
4106680,0.49937207,1
3360443,0.09746331,0
8872390,0.4384235,1
5747905,0.013911102,0
4815441,0.073033385,0
5232981,0.1880475,0
7709087,0.50564516,1
9193763,0.050478518,0
4634636,0.18783891,0
6952831,0.14457849,0
7730826,0.05501048,0
6491886,0.08868792,0
9969344,0.4440374,1
5963988,0.34015772,1
8992179,0.006627835,0
2743124,0.010725941,0
2375613,0.08039081,0
7841625,0.052774366,0
1590655,0.06621291,0
5355354,0.21836035,0
8454430,0.010550191,0
8854988,0.38263136,1
6202391,0.20241654,0
9288835,0.31478006,1
2615551,0.009349692,0
3130532,0.06832813,0
9219130,0.069865584,0
2638545,0.550606,1
8470125,0.3084911,1
3405929,0.10774051,0
8452178,0.28236195,1
2837137,0.13144338,0
6914445,0.024527794,0
6309047,0.011598733,0
5362975,0.5731814,1
9955038,0.07616706,0
7263084,0.11516014,0
3879242,0.018606897,0
2267737,0.010713637,0
3295177,0.02864583,0
8399243,0.19728266,0
1140240,0.36141324,1
3602730,0.31855273,1
6622240,0.008397454,0
8178409,0.012034256,0
4344300,0.3832763,1
8961445,0.23176128,0
6198094,0.24560846,0
1133883,0.6770793,1
1694689,0.10491745,0
8477224,0.21916781,0
1493632,0.028773325,0
8665196,0.04658477,0
1626592,0.6430796,1
2071350,0.19714935,0
2626341,0.43458715,1
5650768,0.43928558,1
3460011,0.464191,1
2690046,0.01311221,0
3002302,0.018479615,0
9206955,0.012987472,0
4589070,0.38877842,1
3113489,0.016346714,0
9468632,0.24031237,0
5381105,0.381192,1
7737127,0.15006365,0
8144587,0.55594945,1
9321066,0.026116276,0
7882418,0.011562366,0
2551354,0.30654013,1
4834156,0.8019457,1
4561402,0.34299263,1
4009978,0.44036,1
2830060,0.016382381,0
4533120,0.00598752,0
3289067,0.7628693,1
8311529,0.053583086,0
4247924,0.048767384,0
5146653,0.20995301,0
8485891,0.009016197,0
1817070,0.22144912,0
9818399,0.0054317093,0
9478153,0.6681523,1
3027798,0.18688107,0
5318015,0.2298146,0
3037400,0.1082182,0
4391504,0.012837791,0
2271701,0.019276848,0
8108258,0.016944103,0
3555883,0.11816502,0
7934601,0.33447918,1
2628626,0.3804,1
5864917,0.020845994,0
8843247,0.4941498,1
6295818,0.4633668,1
4090646,0.06587373,0
3790353,0.02573012,0
3061917,0.6339397,1
5371037,0.66807437,1
2317236,0.24521637,0
5873395,0.41911355,1
4367533,0.05180069,0
6405015,0.4234372,1
7997974,0.44686204,1
4805361,0.028569603,0
6830942,0.035774443,0
6810023,0.632343,1
2666571,0.27837572,1
8900436,0.19608666,0
8925470,0.6068994,1
5874683,0.03709093,0
6096318,0.24618956,0
5193845,0.25543776,0
9909361,0.019067258,0
1989094,0.03821316,0
6998000,0.0076033003,0
7254644,0.1872895,0
7404337,0.354112,1
5997178,0.014286674,0
8723196,0.011972736,0
2138617,0.27913705,1
7732069,0.067108735,0
3963515,0.014667189,0
5680272,0.031558167,0
1546638,0.29247567,1
5457476,0.010845568,0
4554662,0.033091735,0
4622524,0.01443063,0
2337896,0.021015905,0
6196000,0.05819397,0
4728589,0.11541114,0
8415476,0.13121685,0
7522712,0.28142062,1
3778863,0.26684344,0
5805192,0.20402223,0
2321261,0.47578824,1
7192034,0.021364087,0
1574937,0.5363217,1
4511567,0.18456665,0
4324050,0.053290248,0
7753367,0.27356175,1
4651832,0.23689887,0
2497088,0.0074402518,0
4407803,0.22797282,0
7123770,0.24623668,0
2409887,0.09869942,0
7704680,0.104527384,0
7514342,0.17035167,0
2959764,0.6447712,1
8949059,0.035240475,0
3400542,0.27311465,1
2344490,0.440555,1
4275134,0.09448326,0
4565186,0.2765895,1
6835818,0.14683606,0
1229609,0.12520833,0
2177592,0.011108888,0
9021815,0.23032875,0
7537973,0.2794706,1
4093458,0.7251865,1
7707367,0.06307591,0
2595465,0.58403087,1
8831405,0.18442754,0
7008038,0.5571728,1
8151054,0.018012064,0
5528587,0.20864087,0
3676122,0.24498123,0
6638397,0.61314136,1
5699365,0.031626593,0
2244390,0.026778856,0
8668108,0.03049493,0
7331711,0.36522362,1
8487311,0.015007803,0
5231733,0.19755295,0
8479171,0.43990502,1
1686738,0.4599177,1
7418552,0.018475054,0
9130269,0.24391402,0
2696645,0.018728247,0
6855440,0.04003341,0
8156608,0.11039045,0
8190354,0.012183339,0
1430413,0.120176055,0
7128000,0.06816359,0
7798689,0.34587625,1
8332310,0.6652297,1
5171147,0.06771656,0
1963329,0.15642615,0
9132238,0.1653747,0
4966197,0.02811297,0
1883811,0.0119079165,0
4583452,0.35967404,1
8025226,0.013547128,0
2633794,0.05408414,0
7203693,0.08566798,0
5066892,0.04468314,0
1206189,0.28632662,1
2351677,0.13989845,0
9795977,0.25819597,0
7012635,0.03193701,0
4069930,0.01981789,0
4078245,0.7245989,1
7754263,0.39094052,1
4754543,0.1686265,0
7488892,0.059320703,0
1774878,0.40400282,1
1312587,0.05653047,0
2656381,0.24634388,0
8194940,0.008047134,0
7083287,0.030570002,0
8662463,0.18860713,0
6712210,0.022822818,0
8026250,0.039447382,0
4486683,0.76322645,1
7184857,0.22796091,0
7120638,0.021836957,0
3371677,0.42586133,1
9071922,0.032239765,0
7950617,0.06541515,0
1960385,0.20986374,0
4482171,0.39052236,1
1248534,0.032849748,0
1056285,0.08674867,0
7385608,0.011955251,0
5204033,0.091500536,0
2232083,0.24552532,0
6095981,0.085768566,0
7290309,0.16014118,0
1035984,0.052155666,0
8923626,0.02454013,0
3662258,0.24328487,0
5432542,0.040068362,0
7170831,0.2832053,1
5974353,0.36248666,1
5545353,0.09458323,0
7294063,0.18684989,0
9744542,0.20649947,0
2435533,0.050938442,0
2525804,0.11746185,0
1545960,0.4827848,1
6105985,0.24387805,0
3491907,0.1594997,0
4026659,0.016652972,0
2028856,0.017771915,0
9464738,0.30718037,1
1733083,0.40447572,1
1192111,0.14503706,0
6933295,0.6309965,1
8911657,0.03485506,0
1836893,0.07410238,0
1309705,0.47933072,1
4692102,0.5084868,1
7927034,0.06879462,0
3349900,0.410709,1
7299256,0.49097016,1
8576181,0.55196327,1
9430237,0.27968958,1
9329466,0.27440697,1
3593464,0.33676925,1
6638722,0.21969953,0
3835801,0.29622507,1
2452233,0.0681151,0
7821064,0.45702899,1
5222852,0.122243024,0
6727311,0.47699246,1
4976571,0.08797397,0
3466919,0.013320271,0
9356069,0.21146716,0
1378540,0.050272454,0
6799187,0.014781567,0
7662934,0.021673165,0
1047200,0.5670112,1
7840092,0.03255594,0
2061384,0.5534409,1
9134005,0.07069014,0
9895712,0.030884137,0
2549416,0.28515086,1
6154827,0.011457628,0
6260288,0.049599044,0
3157786,0.011417214,0
4090975,0.5000979,1
9156469,0.39096463,1
6411132,0.027422605,0
3734084,0.014998346,0
4755520,0.023626428,0
8366827,0.026322078,0
4841995,0.0402257,0
4373654,0.29747835,1
7844309,0.23041575,0
4347063,0.040833957,0
9256473,0.026858037,0
3569534,0.100885265,0
3685462,0.029557584,0
2394730,0.022664236,0
3575731,0.20458698,0
1680441,0.4249008,1
5024325,0.04335699,0
3817408,0.11172381,0
1125351,0.0067106993,0
8208111,0.040982496,0
3714816,0.064857945,0
5239635,0.83698577,1
2168937,0.07049738,0
1503126,0.08332127,0
1936944,0.111276284,0
4505189,0.055915613,0
4535019,0.21262977,0
7818056,0.012681101,0
6626153,0.16892594,0
6338397,0.7440964,1
5644886,0.09411827,0
8598860,0.04163643,0
3678970,0.07367661,0
7249256,0.05674782,0
2773725,0.018211829,0
2544182,0.027713282,0
5887871,0.015869115,0
4218570,0.024848927,0
2372680,0.016278125,0
3427807,0.17395046,0
8644216,0.021835675,0
2798573,0.1024614,0
1037815,0.24512397,0
3749076,0.26612517,0
1393461,0.6950272,1
4413674,0.013124186,0
8094457,0.45435932,1
8390208,0.30822542,1
9855063,0.031168392,0
7517383,0.009660156,0
3398463,0.5533358,1
2168358,0.56175673,1
6901331,0.040717706,0
9788244,0.08437798,0
2930029,0.33159083,1
4119656,0.07740653,0
8631585,0.31385922,1
3486421,0.14729246,0
9141318,0.1269353,0
4845712,0.18293059,0
7877358,0.011830429,0
9100257,0.34140337,1
5037238,0.09074568,0
2985053,0.024658153,0
4996095,0.029314443,0
8138256,0.11122905,0
7949014,0.6751037,1
4379546,0.18779929,0
7527798,0.21657254,0
9562920,0.18900906,0
5564414,0.49110898,1
8838372,0.018377872,0
6668486,0.48794183,1
5533595,0.017328296,0
1369930,0.20636863,0
6491234,0.015036682,0
5524695,0.04221028,0
1157273,0.011532117,0
4435940,0.04512662,0
6956696,0.47968537,1
4371454,0.012295921,0
5111813,0.20549281,0
2241122,0.023365475,0
9363147,0.00936976,0
7503190,0.26740828,0
9872221,0.21440716,0
1607950,0.15755668,0
7701021,0.10258251,0
5455832,0.54314244,1
9431442,0.15956084,0
8094280,0.37791064,1
6395656,0.506424,1
1262700,0.58976203,1
1410202,0.6409011,1
2186708,0.07129011,0
2417577,0.18009229,0
4275051,0.107982785,0
9394134,0.06704829,0
5541917,0.008816895,0
3948715,0.2861768,1
7070629,0.107968666,0
6191590,0.1717838,0
2328485,0.0044126515,0
8370634,0.45071527,1
8518899,0.13761401,0
2654884,0.22376376,0
2059142,0.3354702,1
3819750,0.122641504,0
9352579,0.24899471,0
5009167,0.014909543,0
1614816,0.42805097,1
8555551,0.6846249,1
2226087,0.53782976,1
6071834,0.04275758,0
3317901,0.03934768,0
6211455,0.017986855,0
7172413,0.32836446,1
9097730,0.3315639,1
9897614,0.04103943,0
4303597,0.026248036,0
7480675,0.61535925,1
1384978,0.03306504,0
4620203,0.3187582,1
8104619,0.018032312,0
3466366,0.42952612,1
4896876,0.032662105,0
4897196,0.192966,0
1537665,0.585117,1
2088393,0.033251747,0
5312063,0.30268016,1
2254593,0.42014894,1
1163975,0.01616143,0
3752055,0.54917526,1
3880779,0.012333196,0
7744309,0.123743534,0
7106960,0.030661128,0
3906437,0.5899394,1
3452246,0.43859547,1
8367722,0.020890042,0
9610994,0.06763017,0
6124539,0.12263008,0
7169035,0.074146576,0
1113923,0.3114854,1
9584919,0.06274426,0
6088319,0.058277987,0
4129206,0.016543865,0
4666674,0.007500724,0
6835681,0.054909497,0
7985691,0.19386673,0
6168352,0.17700078,0
5908436,0.18209459,0
8997811,0.4819478,1
1726969,0.28881213,1
3925365,0.018988654,0
9365359,0.019583689,0
3539415,0.009494027,0
5227328,0.29852638,1
3930784,0.011151856,0
3520276,0.031440176,0
9226045,0.16567603,0
3469169,0.6553755,1
7802636,0.16346143,0
2246280,0.021405619,0
1029835,0.013037083,0
8349661,0.636369,1
5613593,0.007569135,0
7242222,0.5066023,1
4037779,0.11801178,0
9736754,0.24036875,0
6174046,0.044377945,0
2535678,0.08684647,0
4029808,0.046261426,0
4843765,0.0779416,0
4550534,0.3291406,1
9716452,0.022564005,0
2363575,0.087169684,0
6376345,0.017686896,0
2669983,0.0713184,0
9906678,0.12796342,0
1472326,0.46663097,1
3137113,0.16727407,0
5800226,0.04403304,0
6583934,0.04199332,0
5899230,0.272482,1
8641326,0.55724907,1
2498606,0.047190737,0
4519683,0.68360776,1
2109566,0.05519915,0
8254165,0.017136112,0
9757149,0.32695076,1
4224488,0.015869591,0
3851271,0.010590691,0
3194262,0.046512358,0
7487100,0.04141479,0
8092314,0.5072067,1
1032894,0.024085483,0
6297306,0.25928771,0
6908955,0.227523,0
3653506,0.026242295,0
1467760,0.07539452,0
6558264,0.37461773,1
7130303,0.16032459,0
5836038,0.19653587,0
4980648,0.06780146,0
1840448,0.06224556,0
7371124,0.18388954,0
9333277,0.0071252263,0
7449988,0.07116048,0
7106676,0.3043696,1
5558711,0.12641506,0
1102239,0.3361822,1
2438307,0.28305745,1
8425558,0.056739107,0
1068612,0.0144229205,0
3444328,0.014306047,0
7306871,0.21139584,0
6162647,0.011419098,0
7355129,0.44763643,1
4671572,0.08555619,0
3187581,0.39324707,1
5095076,0.3355149,1
8985901,0.34193867,1
9048171,0.10014474,0
2750877,0.3484309,1
9163633,0.48022857,1
3348980,0.19792843,0
9183676,0.78217524,1
1757935,0.39965093,1
2952586,0.035450663,0
6325196,0.0064114933,0
1703107,0.11114861,0
4588346,0.005550809,0
5593807,0.0104545085,0
7311105,0.48015887,1
5993250,0.32523942,1
6077316,0.1468913,0
7955001,0.028173385,0
6225365,0.5109872,1
3630113,0.6892574,1
3650775,0.028950542,0
9492358,0.009889801,0
1836997,0.012655604,0
4299124,0.2452074,0
6645916,0.13747782,0
3788760,0.018766949,0
9581687,0.015462035,0
1552299,0.06309561,0
5981401,0.19644414,0
1279454,0.05823792,0
5714707,0.21395594,0
3506621,0.2930828,1
7545739,0.49565712,1
3007500,0.061935246,0
3761409,0.0070078825,0
1641106,0.12963092,0
2591935,0.4163414,1
6441057,0.090191916,0
8524119,0.024199637,0
7800148,0.012837907,0
8961132,0.017252225,0
3670347,0.28861842,1
4670378,0.10844562,0
1711264,0.31982154,1
6942472,0.20094688,0
6787920,0.33396465,1
9654315,0.0668766,0
9262347,0.65068626,1
1690988,0.041408416,0
7768458,0.5838393,1
4886237,0.31629822,1
3542384,0.08819303,0
7365514,0.045475632,0
9469132,0.032820437,0
6420815,0.050390333,0
7038768,0.30859694,1
8953811,0.6130562,1
5319946,0.17378518,0
9923369,0.5235607,1
1491458,0.29900488,1
9766012,0.27985796,1
3944105,0.23977163,0
3537698,0.30993494,1
5475350,0.017008677,0
9891133,0.0078613395,0
3978865,0.32799035,1
3050626,0.19893166,0
2193060,0.48876595,1
6266805,0.017087223,0
4687779,0.19169421,0
8994652,0.11475081,0
7722361,0.41884702,1
1562041,0.311095,1
8957020,0.23970114,0
6797798,0.494827,1
4211372,0.09002648,0
9927738,0.02033118,0
6028939,0.007291051,0
1542187,0.3429107,1
8536091,0.32973486,1
9804267,0.097717606,0
7092516,0.5960009,1
4386926,0.022433382,0
9947656,0.017159194,0
8001918,0.009712938,0
6311743,0.21235271,0
7333546,0.09835345,0
6812127,0.102370195,0
5837481,0.026388729,0
2103263,0.36593974,1
8745232,0.012512328,0
6401845,0.6199123,1
8462021,0.31673652,1
8860826,0.5195263,1
4743764,0.071517624,0
4087012,0.06750575,0
2397676,0.46189255,1
1915250,0.010037399,0
6908539,0.36749163,1
6550970,0.04045921,0
5535735,0.074306786,0
4091565,0.04386733,0
9683597,0.04340323,0
4556040,0.2899231,1
6145646,0.0879344,0
2470071,0.013371451,0
4319868,0.007866652,0
9123079,0.46264055,1
8180317,0.41820773,1
5848976,0.13080047,0
8169663,0.44807866,1
7342670,0.40733373,1
7941172,0.38738373,1
7219792,0.10080778,0
3524909,0.015322822,0
7090372,0.005814946,0
4663316,0.011571902,0
5742707,0.7181845,1
8408612,0.33213592,1
4628142,0.13787206,0
5353055,0.20421611,0
1942277,0.0076685557,0
4323225,0.4900482,1
1722614,0.022656737,0
3166700,0.106076345,0
3940215,0.5538051,1
6145915,0.16880715,0
4266779,0.2798121,1
5370770,0.07951821,0
1549255,0.16824186,0
4670443,0.006380178,0
4702872,0.6170113,1
4648403,0.088343404,0
4195970,0.030817557,0
8900249,0.32452115,1
4539301,0.31585866,1
8169942,0.08707636,0
4074367,0.07927469,0
1791669,0.3925148,1
2898597,0.08394237,0
9380508,0.07168442,0
4688283,0.01877075,0
8481812,0.071037315,0
1745599,0.1316919,0
2917312,0.15689369,0
7974772,0.19842415,0
7526609,0.10687422,0
1595783,0.017071398,0
3282994,0.044837497,0
8599079,0.02839463,0
2670320,0.48355478,1
7748624,0.21060494,0
4262594,0.007686051,0
1954905,0.34175757,1
5444033,0.067969896,0
5729356,0.015050706,0
2453470,0.041145004,0
7366866,0.19457504,0
2243722,0.26172748,0
8503717,0.36992827,1
6766203,0.0049806368,0
2537289,0.23065488,0
8467207,0.18294045,0
7931419,0.01784802,0
1003244,0.24921234,0
7459408,0.007337736,0
3460977,0.56981415,1
6339241,0.6933508,1
5451578,0.025068661,0
7773189,0.24066247,0
4202833,0.08604996,0
6081857,0.6762765,1
9307094,0.005417164,0
4103295,0.12626375,0
4963641,0.019991962,0
4202797,0.035244383,0
8192393,0.27055538,1
9527118,0.07169702,0
7484378,0.5008454,1
5967326,0.74646574,1
4193599,0.3108336,1
4350862,0.03038091,0
4392196,0.08391392,0
5537398,0.16253445,0
8852504,0.01499093,0
1763118,0.23123749,0
7607919,0.52695453,1
6446383,0.032084666,0
7136228,0.37540314,1
2242443,0.023838151,0
6402124,0.1993013,0
3463118,0.24277769,0
8246847,0.053569295,0
4891488,0.14999232,0
3211969,0.06118813,0
4244671,0.16226429,0
9714871,0.4896478,1
3977933,0.02562108,0
1019075,0.022241237,0
7688799,0.1050735,0
5038882,0.75740206,1
2416784,0.08503967,0
1092420,0.03520078,0
6755332,0.031401698,0
4895968,0.4699008,1
7103535,0.019396624,0
6331152,0.07120418,0
4112188,0.15800671,0
8701218,0.6936519,1
9911587,0.19356774,0
2663330,0.2259712,0
4617025,0.009047685,0
5468346,0.24118097,0
5990502,0.6412909,1
1350779,0.2569326,0
9541680,0.36346334,1
8162548,0.26874372,0
4290057,0.17347932,0
4208688,0.3906569,1
7521089,0.16833203,0
6461390,0.046645492,0
6009729,0.02446781,0
5598643,0.011911806,0
8470476,0.020198908,0
2757645,0.008924145,0
2585896,0.01855947,0
6737821,0.018388245,0
8440245,0.23324266,0
5529813,0.04452992,0
8295573,0.015765416,0
1614462,0.20985568,0
3755490,0.083701044,0
8800901,0.10690737,0
7044291,0.03464586,0
2568682,0.0488242,0
6217594,0.08448837,0
9992371,0.44957122,1
9585118,0.37597525,1
6798074,0.018571986,0
1952299,0.08565842,0
4189581,0.056696884,0
7012365,0.6572015,1
9350599,0.16862682,0
3451851,0.2905359,1
4450734,0.18068105,0
5848676,0.19735472,0
1426543,0.0061073373,0
7626062,0.024951749,0
7652190,0.011453119,0
4879257,0.5501739,1
6025953,0.3424381,1
1008937,0.23818362,0
3898340,0.014971482,0
2145819,0.1179278,0
6528091,0.016597996,0
8473892,0.0073178792,0
6390734,0.017029116,0
8083451,0.6855881,1
5834715,0.08005856,0
4558083,0.054581914,0
4425731,0.03237492,0
9930329,0.19520505,0
6728755,0.26172364,0
1535919,0.03552905,0
6408147,0.2769867,1
9302097,0.011482861,0
9877762,0.10901288,0
2753733,0.12717012,0
9715197,0.01734429,0
3190703,0.5715967,1
9481024,0.047714494,0
6204277,0.14290844,0
8562884,0.095438816,0
8567234,0.11958573,0
2766457,0.036093604,0
5940268,0.47046536,1
6163030,0.089643076,0
3080878,0.044246737,0
4654760,0.09666883,0
1539609,0.08355438,0
3868889,0.5644618,1
8325153,0.07129948,0
7273729,0.41059843,1
8570638,0.28397352,1
8178538,0.3787783,1
3626106,0.046761014,0
7925624,0.06420854,0
1176640,0.0758141,0
3677066,0.17347477,0
6934208,0.06644165,0
1888859,0.33763343,1
7652327,0.32848638,1
1529989,0.2599497,0
3819398,0.0047868616,0
6306054,0.036709383,0
8062659,0.2672059,0
3328568,0.19201332,0
8733207,0.067652665,0
9651174,0.025491083,0
4634563,0.01977951,0
9229687,0.007295018,0
7730844,0.20817487,0
1117019,0.3119001,1
8556529,0.07717249,0
9569777,0.64442474,1
9013637,0.053931016,0
9004046,0.4085232,1
9626056,0.17031643,0
3664328,0.5507605,1
7644492,0.009572324,0
5090636,0.17321183,0
5339874,0.3678379,1
4097953,0.045670465,0
5183114,0.06174901,0
9139675,0.01562553,0
6445484,0.07448331,0
9381067,0.6718524,1
7924644,0.39199358,1
7092167,0.014024248,0
1144452,0.47195047,1
5274352,0.4996331,1
8883599,0.012207615,0
9308348,0.26521558,0
7005921,0.13635665,0
2439421,0.030620249,0
6131868,0.3482941,1
7037036,0.30001813,1
4938071,0.009629032,0
1311319,0.42382392,1
3093321,0.30994955,1
6235453,0.056481063,0
7214676,0.03308591,0
1754337,0.05549784,0
6838531,0.07108351,0
2883007,0.23000045,0
3326131,0.36850476,1
2165471,0.7098261,1
3919810,0.69839627,1
2270126,0.044541158,0
6594638,0.7332044,1
1133009,0.3695011,1
4656684,0.20376353,0
1088912,0.04508954,0
5762698,0.3722789,1
2048188,0.06714262,0
5043595,0.08450028,0
2524977,0.019386537,0
7116140,0.16019884,0
4614841,0.1263817,0
7263236,0.023659268,0
7218870,0.56731176,1
7634622,0.06621688,0
3199863,0.051381867,0
6507491,0.026216222,0
7259226,0.08339436,0
1682714,0.09155967,0
3848117,0.16954334,0
8517398,0.088154964,0
6898263,0.37050608,1
5272781,0.030793548,0
8434325,0.45598304,1
5532619,0.38710588,1
5481572,0.07551933,0
3476609,0.0884786,0
8512957,0.1159388,0
2003832,0.19078432,0
2216067,0.009942298,0
5542873,0.13240206,0
3252763,0.21056026,0
8292497,0.13568793,0
9994239,0.55391866,1
3736920,0.060470212,0
2928112,0.1679823,0
2762864,0.5630936,1
9389709,0.016197316,0
8665100,0.2671253,0
7693768,0.10992152,0
7206418,0.0062311026,0
2896885,0.046983384,0
3450726,0.08727931,0
6518060,0.088596486,0
1745105,0.29917616,1
3866454,0.15477976,0
4377614,0.08358198,0
6435299,0.11634389,0
1848356,0.0850195,0
5088800,0.08820826,0
2257909,0.30829602,1
